Perturbation,tf_rank,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
537,538,4503,GTF2IRD2,-1.9027254581451416,-1.9027254581451416,0.0,True
538,539,4508,ZNF532,-1.9027254581451416,-1.9027254581451416,0.0,True
539,540,4509,ZBTB21,-1.9027254581451416,-1.9027254581451416,0.0,True
540,541,4519,ZNF426,-1.9027254581451416,-1.9027254581451416,0.0,True
541,542,4553,ZNF343,-1.9027254581451416,-1.9027254581451416,0.0,True
542,543,4558,ZNF445,-1.9027254581451416,-1.9027254581451416,0.0,True
543,544,4570,FOXB2,-1.9027254581451416,-1.9027254581451416,0.0,True
544,545,4578,ZNF559,-1.9027254581451416,-1.9027254581451416,0.0,True
545,546,4587,ZBTB43,-1.9027254581451416,-1.9027254581451416,0.0,True
546,547,4589,ZNF654,-1.9027254581451416,-1.9027254581451416,0.0,True
547,548,4592,FOXD4L3,-1.9027254581451416,-1.9027254581451416,0.0,True
548,549,4641,ZNF630,-1.9027254581451416,-1.9027254581451416,0.0,True
549,550,4722,ZNF706,-1.9027254581451416,-1.9027254581451416,0.0,True
550,551,4737,DBX1,-1.9027256965637207,-1.9027256965637207,0.0,True
551,552,4730,DRGX,-1.9027254581451416,-1.9027254581451416,0.0,True
552,553,4738,ZIK1,-1.9027256965637207,-1.9027256965637207,0.0,True
553,554,4746,PRDM4,-1.903028964996338,-1.903028964996338,0.0,True
554,555,4758,L3MBTL1,-1.9044082164764404,-1.9044082164764404,0.0,True
555,556,4759,ZBTB16,-1.904615879058838,-1.904615879058838,0.0,True
556,557,4775,ZNF267,-1.9062738418579102,-1.9062738418579102,0.0,True
557,558,4785,PRDM6,-1.9074859619140625,-1.9074859619140625,0.0,True
558,559,4812,SMAD5,-1.909693717956543,-1.909693717956543,0.0,True
559,560,4817,LBX1,-1.9101723432540894,-1.9101723432540894,0.0,True
560,561,4818,HSF1,-1.9104958772659302,-1.9104958772659302,0.0,True
561,562,4834,TIGD7,-1.9106216430664062,-1.9106216430664062,0.0,True
562,563,4838,ZNF772,-1.9106216430664062,-1.9106216430664062,0.0,True
563,564,4848,ZNF773,-1.9106216430664062,-1.9106216430664062,0.0,True
564,565,4850,ETV3L,-1.9106216430664062,-1.9106216430664062,0.0,True
565,566,4866,ZNF502,-1.9108444452285767,-1.9108444452285767,0.0,True
566,567,4880,DEAF1,-1.9119960069656372,-1.9119960069656372,0.0,True
567,568,4881,TOPORS,-1.912024974822998,-1.912024974822998,0.0,True
568,569,4896,ZNF771,-1.9141359329223633,-1.9141359329223633,0.0,True
569,570,4906,ZNF444,-1.9154365062713623,-1.9154365062713623,0.0,True
570,571,4911,ZKSCAN7,-1.9159302711486816,-1.9159302711486816,0.0,True
571,572,4913,BSX,-1.9160783290863037,-1.9160783290863037,0.0,True
572,573,4919,ZNF780B,-1.9168803691864014,-1.9168803691864014,0.0,True
573,574,4963,GRHL1,-1.9215701818466187,-1.9215701818466187,0.0,True
574,575,4979,GTF3A,-1.9232323169708252,-1.9232323169708252,0.0,True
575,576,4986,ZNF446,-1.9238719940185547,-1.9238719940185547,0.0,True
576,577,5003,TEAD4,-1.9252793788909912,-1.9252793788909912,0.0,True
577,578,5057,TIGD5,-1.9299741983413696,-1.9299741983413696,0.0,True
578,579,5059,THAP12,-1.930194616317749,-1.930194616317749,0.0,True
579,580,5062,DLX5,-1.930433750152588,-1.930433750152588,0.0,True
580,581,5071,VSX1,-1.931107759475708,-1.931107759475708,0.0,True
581,582,5093,ZFHX2,-1.9328596591949463,-1.9328596591949463,0.0,True
582,583,5096,ZNF34,-1.9332566261291504,-1.9332566261291504,0.0,True
583,584,5097,DPF3,-1.9333984851837158,-1.9333984851837158,0.0,True
584,585,5105,KLF5,-1.9339451789855957,-1.9339451789855957,0.0,True
585,586,5119,HOXC11,-1.9350234270095825,-1.9350234270095825,0.0,True
586,587,5130,ZNF652,-1.935990810394287,-1.935990810394287,0.0,True
587,588,5144,ZNF425,-1.9366543292999268,-1.9366543292999268,0.0,True
588,589,5160,HOXC10,-1.9378228187561035,-1.9378228187561035,0.0,True
589,590,5166,TFAP2B,-1.9385337829589844,-1.9385337829589844,0.0,True
590,591,5172,ZNF490,-1.9393527507781982,-1.9393527507781982,0.0,True
591,592,5176,ZNF280B,-1.9396202564239502,-1.9396202564239502,0.0,True
592,593,5177,ZNF280A,-1.9396202564239502,-1.9396202564239502,0.0,True
593,594,5182,PPARD,-1.9400566816329956,-1.9400566816329956,0.0,True
594,595,5187,FOXL2,-1.9403367042541504,-1.9403367042541504,0.0,True
595,596,5188,NR5A1,-1.940374493598938,-1.940374493598938,0.0,True
596,597,5199,MYRF,-1.9415228366851807,-1.9415228366851807,0.0,True
597,598,5244,ZNF611,-1.94377863407135,-1.94377863407135,0.0,True
598,599,5246,ZSCAN25,-1.94377863407135,-1.94377863407135,0.0,True
599,600,5270,ZNF142,-1.9446879625320435,-1.9446879625320435,0.0,True
